"","BANK NAME","BANK BRANCH","CITY","DETAILS","country"
"67","BRADESCO S/A CTVM","","SAO PAULO","View","Brazil"
"68","BANCO DO ESTADO DO RIO GRANDE DO SUL S/A","MATRIZ","PORTO ALEGRE","View","Brazil"
"69","BANCO BRJ S.A.","","RIO DE JANEIRO","View","Brazil"
"70","BANCO RIBEIRAO PRETO S.A","","RIBEIRAO PRETO","View","Brazil"
"71","BANCO SOFISA S.A.","MATRIZ","SAO PAULO","View","Brazil"
"72","BANCO SANTANDER (BRASIL) S.A.","HEAD OFFICE","SAO PAULO","View","Brazil"
"73","BARING SECURITIES BRAZIL","","SAO PAULO","View","Brazil"
"74","BANCO SOCIETE GENERALE BRASIL S/A","MATRIZ","SAO PAULO","View","Brazil"
"75","BANCO SUL AMERICA S.A.","","SAO PAULO","View","Brazil"
"76","CM CAPITAL MARKETS CCTVM LTDA.","","SAO PAULO","View","Brazil"
"77","ITAU UNIBANCO S/A (SUCCESSOR OF BANCO ITAU BBA S.A.)","CENTRAL","SAO PAULO","View","Brazil"
"78","COOPERATIVA CENTRAL CREDITO RURAL RGS LTDA","","PORTO ALEGRE","View","Brazil"
"79","CAMARA INTERBANCARIA DE PAGAMENTOS-CIP","","SAO PAULO","View","Brazil"
"80","COOPERATIVA DE CREDITO RURAL DO OESTE LTDA","","BAHIA","View","Brazil"
"81","CONVENCAO S/A CORRETORA DE VALORES E CAMBIO","","SAO PAULO","View","Brazil"
"82","CETRO CTVM LTDA.","","PORTO ALEGRE","View","Brazil"
"83","CAIXA ECONOMICA DO ESTADO DO IO GRANDE DO SUL SA","","CAXIAS DO SUL","View","Brazil"
"84","CAIXA ECONOMICA FEDERAL","ALTO DA MOOCA","SAO PAULO","View","Brazil"
"85","CETIP / CENTRAL DE CUSTODIA E DE LIQUIDACAO FINANCEIRA DE TITULOS","","RIO DE JANEIRO","View","Brazil"
"86","BANCO CAIXA GERAL-BRASIL S/A","MATRIZ","SAO PAULO","View","Brazil"
"87","CITIGROUP GLOBAL MARKETS BRASIL CCTVM SA","","SAO PAULO","View","Brazil"
"88","BANCO JP MORGAN S.A.","","SAO PAULO","View","Brazil"
"89","CITY CCVM LTDA.","","RIO DE JANEIRO","View","Brazil"
"90","BANDEIRANTES CREDITO IMOBILIARIO","","SAO PAULO","View","Brazil"
"91","COMPANHIA BRASILEIRA DE LIQUIDACAO E CUSTODIA","","SAO PAULO","View","Brazil"
"92","COINVALORES CCVM LTDA.","","SAO PAULO","View","Brazil"
"93","NOVO BANCO CONTINENTAL S.A.","MATRIZ","PORTO ALEGRE","View","Brazil"
"94","CRUZEIRO DO SUL CORRETORA DE VALORES","","RIO DE JANEIRO","View","Brazil"
"95","CREDIT SUISSE FIRST BOSTON SA CTVM","","SAO PAULO","View","Brazil"
"96","CETIP S.A. BALCAO ORGANIZADO DE ATIVOS E DERIVATIVOS","","RIO DE JANEIRO","View","Brazil"
"97","MERCEDES-BENZ DO BRASIL LTDA","","SAO BERNARDO DO CAMPO","View","Brazil"
"98","STAREXPORT TRADING S.A.","","SAO BERNARDO DO CAMPO","View","Brazil"
"99","BANCO DAYCOVAL S/A","MATRIZ","SAO PAULO","View","Brazil"
"100","BANCO DE DESENVOLVIMENTO DO ESTADO DA BAHIA S.A.","","SALVADOR","View","Brazil"
"101","SCOTIABANK BRASIL S.A.-BANCO MULTIPLO","MATRIZ","SAO PAULO","View","Brazil"
"102","BANCO DIGIBANCO S.A","","SAO PAULO","View","Brazil"
"103","DEUTSCHE BANK CV S/A","","SAO PAULO","View","Brazil"
"104","DEUTSCHE BANK S.A. - BANCO ALEMAO","MATRIZ","SAO PAULO","View","Brazil"
"105","DISTRIBUIDORA BANK OF BOSTON DTVM S/A","","SAO PAULO","View","Brazil"
"106","INDOSUEZ CAPITAL DTVM S/A","","SAO PAULO","View","Brazil"
"107","BB DISTR. DE TITULOS E VALORES MOBLS. S/A","","RIO DE JANEIRO","View","Brazil"
"108","EMPRESA BRASILEIRA DE CORREIOS E TELEGRAFOS - ECT","","BRASILIA","View","Brazil"
"109","ELITE CCVM LTDA","","RIO DE JANEIRO","View","Brazil"
"110","EQUITY CP - CCV S/A","","RIO DE JANEIRO","View","Brazil"
"111","ESTRATEGIA INVESTIMENTOS S/A CVC","","RIO DE JANEIRO","View","Brazil"
"112","FATOR - DORIA ATHERINO S/A CV","","SAO PAULO","View","Brazil"
"113","FATOR S.A. CORRETORA DE VALORES","","SAO PAULO","View","Brazil"
"114","FINABANK CORRETORA DE CAMBIO TITULOS E VALORES MOBILIARIOS LTDA","","SAO PAULO","View","Brazil"
